date,timegpt,timegpt-hi-80,timegpt-hi-95,timegpt-lo-80,timegpt-lo-95,predicted_y,true_y,probability,predicted_score,prediction_Buy,prediction_Sell,confidence_level_High,confidence_level_Low,confidence_level_Medium,day_of_week_Friday,day_of_week_Monday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2025-04-14,4.6083455,4.674713,4.7298393,4.541978,4.4868517,4.6083455,4.610499858856201,0.9998824596405028,0.8805999755859375,1,0,1,0,0,0,1,0,0,0
2025-04-15,4.598748,4.6623816,4.714499,4.535115,4.4829974,4.598748,4.611000061035156,0.9999954700469972,0.930500626564026,0,1,1,0,0,0,0,0,1,0
2025-04-16,4.6632504,4.725366,4.794248,4.601135,4.532253,4.6632504,4.673999786376953,0.8459311127662659,0.9282221794128418,1,0,1,0,0,0,0,0,0,1
2025-04-17,4.7166023,4.775727,4.833915,4.657478,4.5992894,4.7166023,4.731500148773193,0.9992613196372986,0.9507209062576294,0,1,1,0,0,0,0,1,0,0
2025-04-18,4.7334228,4.794012,4.8551826,4.6728334,4.611663,4.7334228,4.731500148773193,0.9951320886611938,0.6237483322620392,1,0,1,0,0,1,0,0,0,0
2025-04-21,4.721641,4.7819138,4.841455,4.6613684,4.601827,4.721641,4.7210001945495605,0.9951320886611938,0.296775758266449,1,0,1,0,0,0,1,0,0,0
2025-04-22,4.871232,4.9339514,4.9950237,4.8085127,4.7474403,4.871232,4.870500087738037,0.8981313705444336,0.6353241205215454,1,0,1,0,0,0,0,0,1,0
2025-04-23,4.8307757,4.8971834,4.9521704,4.764368,4.709381,4.8307757,4.8354997634887695,0.537857174873352,0.256164014339447,0,1,0,1,0,0,0,0,0,1
2025-04-24,4.8629246,4.9265375,4.9786305,4.7993116,4.7472186,4.8629246,4.849999904632568,0.8999032974243164,0.679581880569458,1,0,1,0,0,0,0,1,0,0
2025-04-25,4.8458147,4.907875,4.9767933,4.7837543,4.714836,4.8458147,4.8354997634887695,0.7888293862342834,0.2584478259086609,0,1,0,0,1,1,0,0,0,0
